( arctic_a0001 "Author of the danger trail, Philip Steels, etc." )
( arctic_a0002 "Not at this particular case, Tom, apologized Whittemore." )
( arctic_a0003 "For the twentieth time that evening the two men shook hands." )
( arctic_a0004 "Lord, but I'm glad to see you again, Phil." )
( arctic_a0005 "Will we ever forget it." )
( arctic_a0006 "God bless 'em, I hope I'll go on seeing them forever." )
( arctic_a0007 "And you always want to see it in the superlative degree." )
( arctic_a0008 "Gad, your letter came just in time." )
( arctic_a0009 "He turned sharply, and faced Gregson across the table." )
( arctic_a0010 "I'm playing a single hand in what looks like a losing game." )
( arctic_a0011 "If I ever needed a fighter in my life I need one now." )
( arctic_a0012 "Gregson shoved back his chair and rose to his feet." )
( arctic_a0013 "He was a head shorter than his companion, of almost delicate physique." )
( arctic_a0014 "Now you're coming down to business, Phil, he exclaimed." )
( arctic_a0015 "It's the aurora borealis." )
( arctic_a0016 "There's Fort Churchill, a rifle-shot beyond the ridge, asleep." )
( arctic_a0017 "From that moment his friendship for Belize turns to hatred and jealousy." )
( arctic_a0018 "There was a change now." )
( arctic_a0019 "I followed the line of the proposed railroad, looking for chances." )
( arctic_a0020 "Clubs and balls and cities grew to be only memories." )
( arctic_a0021 "It fairly clubbed me into recognizing it." )
( arctic_a0022 "Hardly were our plans made public before we were met by powerful opposition." )
( arctic_a0023 "A combination of Canadian capital quickly organized and petitioned for the same privileges." )
( arctic_a0024 "It was my reports from the north which chiefly induced people to buy." )
( arctic_a0025 "I was about to do this when cooler judgment prevailed." )
( arctic_a0026 "It occurred to me that there would have to be an accounting." )
( arctic_a0027 "To my surprise he began to show actual enthusiasm in my favor." )
( arctic_a0028 "Robbery, bribery, fraud, " )
( arctic_a0029 "Their forces were already moving into the north country." )
( arctic_a0030 "I had faith in them." )
( arctic_a0031 "They were three hundred yards apart." )
( arctic_a0032 "Since then some mysterious force has been fighting us at every step." )
( arctic_a0033 "He unfolded a long typewritten letter, and handed it to Gregson." )
( arctic_a0034 "Men of Selden's stamp don't stop at women and children." )
( arctic_a0035 "He stopped, and Philip nodded at the horrified question in his eyes." )
( arctic_a0036 "She turned in at the hotel." )
( arctic_a0037 "I was the only one who remained sitting." )
( arctic_a0038 "We'll have to watch our chances." )
( arctic_a0039 "The ship should be in within a week or ten days." )
( arctic_a0040 "I suppose you wonder why she is coming up here." )
( arctic_a0041 "Meanwhile I'll go out to breathe a spell." )
( arctic_a0042 "How could he explain his possession of the sketch." )
( arctic_a0043 "It seemed nearer to him since he had seen and talked with Gregson." )
( arctic_a0044 "Her own betrayal of herself was like tonic to Philip." )
( arctic_a0045 "He moved away as quietly as he had come." )
( arctic_a0046 "The girl faced him, her eyes shining with sudden fear." )
( arctic_a0047 "Close beside him gleamed the white fangs of the wolf-dog." )
( arctic_a0048 "He looked at the handkerchief more, closely." )
( arctic_a0049 "Gregson was asleep when he re-entered the cabin." )
( arctic_a0050 "In spite of their absurdity the words affected Philip curiously." )
( arctic_a0051 "The lace was of a delicate ivory color, faintly tinted with yellow." )
( arctic_a0052 "It was a curious coincidence." )
( arctic_a0053 "Suddenly his fingers closed tightly over the handkerchief." )
( arctic_a0054 "There was nothing on the rock." )
( arctic_a0055 "Philip stood undecided, his ears strained to catch the slightest sound." )
( arctic_a0056 "Pearce's little eyes were fixed on him shrewdly." )
( arctic_a0057 "I have no idea, replied Philip." )
( arctic_a0058 "I came for information more out of curiosity than anything else." )
( arctic_a0059 "His immaculate appearance was gone." )
( arctic_a0060 "Anyway, no one saw her like that." )
